"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","S01",0.196,-0.024,0.103,0.068,-0.15,-0.208,0.161,-0.274,"C1"
"2","S04",0.002,-0.108,-0.033,0.112,-0.111,0.206,-0.162,0.319,"C1"
"3","S05",0.293,0.128,0.34,0.38,-0.373,0.216,0.216,0.341,"C2"
"4","S06",0.12,0.144,0.344,0.292,-0.372,0.081,-0.029,0.118,"C2"
"5","S07",0.316,0.106,0.373,0.409,-0.461,0.11,-0.012,0.383,"C2"
"6","S08",-0.051,-0.028,0.09,0.121,-0.177,0.056,0.013,0.108,"C1"
"7","S10",-0.339,0.072,-0.107,0.01,0.176,0.152,-0.071,0.112,"C1"
"8","S11",0.295,0.148,0.345,0.198,-0.347,0.015,0.112,0.241,"C2"
