"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","S01",0.164,0.066,0.079,0.083,-0.063,-0.167,0.235,-0.385,"C1"
"2","S04",0.134,-0.083,0.042,0.102,-0.272,0.152,-0.278,0.386,"C1"
"3","S05",0.248,0.356,0.405,0.423,-0.358,0.406,0.268,0.448,"C2"
"4","S06",0.033,0.06,0.289,0.431,-0.259,0.223,-0.069,0.257,"C2"
"5","S07",0.225,-0.056,0.355,0.344,-0.309,0.11,0.038,0.409,"C2"
"6","S08",-0.097,-0.096,0.103,0.136,-0.145,-0.045,-0.033,0.219,"C1"
"7","S10",-0.332,0.125,-0.171,0.127,0.242,0.296,-0.084,0.196,"C1"
"8","S11",0.31,0.11,0.49,0.403,-0.455,0.079,0.044,0.314,"C2"
