"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","Subject #01",0.162,-0.013,0.067,0.082,-0.09,-0.154,0.166,-0.32,"C1"
"2","Subject #04",-0.009,-0.104,-0.051,0.115,-0.117,0.149,-0.17,0.315,"C1"
"3","Subject #05",0.258,0.236,0.366,0.207,-0.391,0.121,0.146,0.48,"C2"
"4","Subject #06",0.048,0.112,0.325,0.241,-0.28,0.05,-0.094,0.138,"C2"
"5","Subject #07",0.291,0.087,0.363,0.377,-0.358,0.133,0.01,0.35,"C2"
"6","Subject #08",-0.138,-0.037,0.069,0.187,-0.137,0.064,-0.047,0.165,"C1"
"7","Subject #10",-0.361,0.062,-0.103,-0.023,0.156,0.121,-0.082,0.098,"C1"
"8","Subject #11",0.272,0.153,0.347,0.288,-0.306,0.068,0.051,0.257,"C2"
