"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","S01",0.138,-0.007,0.078,0.055,-0.088,-0.209,0.239,-0.332,"C1"
"2","S04",-0.025,-0.243,-0.082,0.144,-0.091,0.188,-0.147,0.303,"C1"
"3","S05",0.246,0.084,0.37,0.372,-0.372,0.176,0.256,0.485,"C2"
"4","S06",0.059,0.1,0.364,0.429,-0.34,0.087,-0.084,0.189,"C2"
"5","S07",0.31,0.025,0.396,0.401,-0.415,0.137,-0.034,0.449,"C2"
"6","S08",-0.075,0.004,0.13,0.088,-0.189,-0.025,-0.03,0.109,"C1"
"7","S10",-0.323,0.155,-0.068,-0.066,0.159,0.095,-0.041,0.141,"C1"
"8","S11",0.307,0.159,0.434,0.384,-0.411,0.165,0.07,0.249,"C2"
