"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","S01",0.162,-0.06,0.019,0.047,-0.066,-0.098,0.227,-0.314,"C1"
"2","S04",0.011,-0.013,-0.002,0.123,-0.137,0.136,-0.103,0.218,"C1"
"3","S05",0.306,0.182,0.346,0.273,-0.362,0.163,0.231,0.281,"C2"
"4","S06",0.152,0.078,0.306,0.238,-0.363,0.054,-0.007,0.132,"C2"
"5","S07",0.37,0.143,0.348,0.307,-0.454,0.059,0.015,0.297,"C2"
"6","S08",-0.025,0.028,0.136,0.091,-0.192,0.003,0.027,0.13,"C1"
"7","S10",-0.319,0.105,-0.072,-0.006,0.146,0.141,0.007,0.141,"C1"
"8","S11",0.306,0.108,0.28,0.121,-0.284,0.025,0.042,0.164,"C2"
