"Time","Perspiration","Speed","Acceleration","Braking","Steering","Phase","Activity","Failure","Distance","ppNormalized","ppLogNormalized","Subject","Speed_u","Speed_std","Acc_u","Acc_std","Brake_u","Brake_std","Steering_u","Steering_std","ppNext"
1,0.0063997265405809,0.004731127,1.26520325457143,0.00173376771428571,190.443769871429,0,0,0,1.45628720157143,0.00304183234800644,0.644941198165307,"01",0.00302258220833333,0.00152030332168997,1.18010250883929,0.0903377585952006,28.5337364881726,22.7585122291811,190.39008745,0.0194296677858766,0.427640067050003
2,0.00617362564576806,0.002874998125,1.262884846125,2.462836563875,190.3777022625,0,0,0,1.4554370155,0.0028157314531936,0.608972227574322,"01",0.0046112955,NA,1.08374567725,NA,38.7089396535,NA,190.4124808875,NA,0.455446400975159
3,0.00599723167845431,0.001581453,1.19367700314286,44.4294332471429,190.3800792,0,0,0,1.45544799385714,0.00263933748587985,0.579983913627551,"01",0.0037431468125,0.0012277476480189,1.1733152616875,0.126670521087635,20.5858881086875,25.6298652862605,190.395091575,0.0245922015778449,0.441489507647962
5,0.00550244306447531,0.352158817571429,6.34911645857143,0.0420158177142857,151.563225537143,0,0,0,1.49680876914286,0.00214454887190085,0.493878126449506,"01",0.00302617101071429,0.00161243885806822,1.21082678870357,0.0767123381252721,17.1205886464464,22.4323947490164,189.86777417,1.19824165907361,0.374869021217969
6,0.0051828198639843,1.600238269,17.596843555,0,26.731159006625,0,0,0,1.880062719875,0.00182492567140984,0.434035223855093,"01",0.0612149454375001,0.142540102367737,2.06720840034821,2.09881981476138,14.2741598416577,21.2410642149809,183.48368273119,15.6744495103757,0.357867720470607
7,0.00489089773846327,4.28628983785714,21.4631107271429,0,-35.09616516,0,0,0,3.12226774542857,0.00153300354588881,0.376061814801889,"01",0.281075420232143,0.596071974924996,4.28572770815561,6.17443648814707,12.2349941499924,20.1269235398899,161.090465056253,60.9502558737136,0.345173136573192
8,0.0048365626957981,7.400524105375,21.699716835,0,-56.930036455,0,0,0,5.7331918815,0.00147866850322364,0.364890223404802,"01",0.781727222435268,1.51979018808063,6.43290058552902,8.3402781054637,10.7056198812433,19.1294145370142,136.567136279221,89.4168782306343,0.338995400927453
9,0.00496667150335992,9.90171444614286,21.28554335,0,-56.9812940071429,0,0,0,9.62755456228571,0.00160877731078546,0.39143583936901,"01",1.51714909831746,2.62462377466707,8.12921350213691,9.31463937124644,9.51610656110516,18.246291826338,115.067450419863,105.62236636673,0.315121064234168
10,0.00483966050562698,11.985315185,26.45890667875,0,-37.7916578375,0,0,0,14.5413524,0.00148176631305252,0.365530516586595,"01",2.3556056331,3.62675309537241,9.44484648692322,9.71756809134987,8.56449590499465,17.4639882773704,97.8625759771625,113.475091553795,0.296042370450457
11,0.00458651198535979,14.9337173471429,29.0088892385714,0,-2.009863055,0,0,0,20.5639168671429,0.00122861779278533,0.311805762070454,"01",3.23103377418182,4.50201321027512,10.9915792316347,10.5500815479413,7.78590536817695,16.7678273297753,85.5303729031023,115.160116021505,0.265176077144324
12,0.00436068309892016,17.85030635375,25.130615375,0,-0.181226548375,0,0,0,28.02209318375,0.0010027889063457,0.261314663206403,"01",4.20625740526191,5.46244449687937,12.4930217322128,11.3242046141627,7.13707992082887,16.1447119473172,78.2353532399271,112.671367819639,0.25540036263157
13,0.00429234238972162,19.9002995442857,26.4110530728571,0,1.90144824957143,0,0,0,36.5415572371429,0.000934448197147158,0.245518539938375,"01",5.25579963206869,6.45536834018173,13.4651443201195,11.3945791000989,6.58807377307281,15.5836147163269,72.2033086408269,110.045201345074,0.253428929106626
14,0.00427754565006084,22.12576590625,28.61612051,0,6.017943024125,0,0,0,46.02722112,0.000919651457486379,0.242065343362062,"01",6.30183534008419,7.33382087808449,14.3898520881722,11.4812977203631,6.11749707499618,15.075428539794,67.1817471843087,107.384529229144,0.267192234583111
15,0.00441062745871619,24.6289112328571,28.07468991,0,6.70900507785714,0,0,0,56.5718591042857,0.00105273326614173,0.272702904019441,"01",17.3590808672857,4.00562501104768,27.1251169750357,1.63580634015453,0,0,-6.41267123343571,17.7939679148237,0.279300623473598
16,0.00447328265082688,26.65373436625,23.64007884375,0,1.906033907375,0,0,0,68.19598105125,0.00111538845825242,0.28680845636783,"01",21.1263207592857,2.91561480264747,27.0581197169643,1.59109497502777,0,0,3.61179245079464,3.30124002224887,0.295012267322665
17,0.00443578484537916,27.5240807142857,20.8168839714286,0,1.90475830471429,0,0,0,80.4613063671429,0.0010778906528047,0.278390510033522,"01",23.3271777624107,2.94093939848083,26.6854855841518,2.23659378621454,0,0,4.13360756473214,2.59023886165903,0.311526279762004
