"","Time","pp","pp_nr5","HR","BR","SkinTemp","Posture","PeakAccel","Accelerator","Brake","Steering","Speed","IN_Lat","IN_Long"
"1",0,0.00423516908333333,0.00435647862449461,74,14.7,-3276.8,-11,0.06,20.6724278308458,55.8824896268657,-350.819328457711,0,1836.067698,-5781.194376
"2",1,0.00377763933333333,0.00434594400465838,77,15,-3276.8,-12,0.06,20.6755036080402,60.9377995025126,-352.480979447236,0,1836.067698,-5781.194376
"3",2,0.00426751233333333,0.00435350059463174,79,15,-3276.8,-12,0.04,20.68866805,43.356446835,-362.53604695,0,1836.067698,-5781.194376
"4",3,0.00407093138095238,0.00437800609425675,80,15.3,-3276.8,-11,0.08,20.6816828606965,22.8013300995025,-413.973291840796,0,1836.06765746269,-5781.19436865672
"5",4,0.00433898379166667,0.00441799515617513,80,15.3,-3276.8,-11,0.06,20.6435400753769,24.0520601708543,-523.120528542714,0,1836.0675599397,-5781.19432790955
"6",5,0.00428692414285714,0.00446829920566663,79,15.6,-3276.8,-9,0.08,20.67195671,14.79629936265,-629.22666305,0,1836.06744627,-5781.19425939
"7",6,0.00445308835714286,0.00449577422564901,78,15.6,-3276.8,-8,0.06,20.708289745,1.230254440825,-637.9246852,0,1836.06728622,-5781.19417653
"8",7,0.00494698447619048,0.00456715131165692,78,15.5,-3276.8,-8,0.07,20.68874308,15.634915285,-638.98092445,0,1836.06703434,-5781.19407666
"9",8,0.004666802375,0.00460246844634318,78,15.5,-3276.8,-8,0.06,20.65827272,14.0465218785,-639.33920515,0,1836.06674664,-5781.19396665
"10",9,0.00460047557142857,0.0046339630421934,78,15.2,-3276.8,-8,0.16,20.64623943,10.784758642,-640.514919,0,1836.06642435,-5781.19388253
"11",10,0.00408352875,0.00467834903827448,77,15.2,-3276.8,-7,0.1,20.635967765,9.30219704225,-639.2974808,0,1836.06607077,-5781.1938477
"12",11,0.00466779214285714,0.00474181361859114,76,15.2,-3276.8,-7,0.06,20.6249351,-1.17664358922,-640.3886884,0,1836.06569436,-5781.19388556
"13",12,0.005675309,0.00480469988642067,74,15.2,-3276.8,-6,0.07,20.64404201,26.192032157,-640.82994535,0,1836.06531651,-5781.19399782
"14",13,0.00486798276190476,0.00484355825548281,73,15.1,-3276.8,4,0.09,20.67095416,29.439585945,-623.51791535,0,1836.06502197,-5781.19403421
"15",14,0.00492807195833333,0.00486063193046793,75,15.1,-3276.8,3,0.09,20.75839526,43.94330175,-510.7611303,0,1836.06487374,-5781.19396593
"16",15,0.00474967685714286,0.00487641349449943,76,15.1,-3276.8,2,0.08,20.98103328,41.474502035,-370.52100855,0,1836.06482556,-5781.19395456
"17",16,0.00444754075,0.00490586968177428,78,15.1,-3276.8,1,0.06,20.78829885,39.733983385,-257.24426795,0,1836.06481923,-5781.1939692
"18",17,0.00562440861904762,0.00494837545017587,80,15.1,-3276.8,1,0.06,21.68377468,-0.2549855991,-104.8489562365,0,1836.06484878,-5781.19394277
"19",18,0.00606711728571429,0.0049828236859468,82,15.1,-3276.8,2,0.04,30.444330805,-3.2065611205,31.41635556045,0,1836.06499461,-5781.19372305
"20",19,0.00474976421428571,0.00498806222571881,84,14.8,-3276.8,2,0.08,32.93408821,-3.9321718131,85.91189213,1.06,1836.06537303,-5781.1931397
"21",20,0.005001975125,0.00497043306371778,84,14.8,-3276.8,3,0.1,30.975506495,-1.80276850865,124.511854605,6.02,1836.06605934,-5781.19205229
"22",21,0.00562861435714286,0.0049431781763247,83,14.5,-3276.8,-3,0.13,31.31427879,-2.318178372286,28.5992684853,10.42,1836.06707199,-5781.19047558
"23",22,0.0046611065,0.00491927376329361,81,14.5,-3276.8,-5,0.08,28.14839234,-1.22410430365,-39.226663815,12,1836.06816171,-5781.18858546
"24",23,0.00462501535,0.00492972595481174,79,14.3,-3276.8,-6,0.1,24.848046725,-0.4291221717515,-68.433453905,13.89,1836.06935973,-5781.18657009
"25",24,0.00531609486363636,0.00491687823539031,77,14.3,-3276.8,-6,0.03,30.02773301,-0.321977350175,-107.5117367,13.45,1836.07072254,-5781.18454251
"26",25,0.00508823971428571,0.00492360769088714,77,14.4,-3276.8,-6,0.09,29.4494407,-1.465895294192,-83.574241655,16,1836.0723804,-5781.1825584
"27",26,0.00472583495833333,0.00491356515474756,77,14.4,-3276.8,-7,0.15,27.63317286,-1.676830089697,-11.24052149174,16,1836.0743016,-5781.18069399
"28",27,0.0044757937,0.00490312473916695,79,14.4,-3276.8,-10,0.13,21.39079785,10.26741073135,32.7211729,17.135,1836.07630596,-5781.17877873
"29",28,0.00485265275,0.00491919879505034,83,14.4,-3276.8,-12,0.09,21.845259075,34.033911595,60.73722899,16.655,1836.07808463,-5781.17677113
"30",29,0.00517076265,0.00494255401080647,82,14.5,-3276.8,-12,0.06,21.28519857,28.3348046,63.415579725,15.135,1836.07940265,-5781.17491335
"31",30,0.00485180225,0.00498000610009307,79,14.5,-3276.8,-12,0.06,21.469262975,40.695435465,59.914117435,13.7,1836.08034795,-5781.17321832
"32",31,0.0053666860952381,0.00502119645491529,75,14.5,-3276.8,-11,0.04,21.823141425,35.469842435,65.536320475,10.325,1836.08092701,-5781.17195505
"33",32,0.00522497833333333,0.00506333869063467,72,14.5,-3276.8,-11,0.04,21.580708295,34.69054877,57.738710425,7.325,1836.08124954,-5781.17114049
"34",33,0.00569889819047619,0.00510388768349479,68,14.3,-3276.8,-11,0.04,21.55951817,38.124771075,2.69529528175,4.39,1836.08139363,-5781.17066889
"35",34,0.00469257133333333,0.00515399101439837,65,14.3,-3276.8,-11,0.04,21.540822055,30.43347864,-23.19799282,3,1836.08142903,-5781.17050512
"36",35,0.00501408185714286,0.00522743373273922,64,13.7,-3276.8,-11,0.04,21.365520835,29.44205716,-23.556111425,3,1836.081426,-5781.17050677
