"Subject","MeanPP","StdPP","MeanPP_Seg0","MeanPP_Seg1","MeanPP_Seg2","MeanPP_Seg3","MeanPP_Seg4","MeanPP_SegMax","StdPP_Seg0","StdPP_Seg1","StdPP_Seg2","StdPP_Seg3","StdPP_Seg4","StdPP_SegMax"
"01",0.19752347140296,0.142035338190949,0.317343329158518,0.069996892875496,0.140090891800872,0.130230114928507,0.415081890250272,0.415081890250272,0.111221320143126,0.0779070261003977,0.0389434333993739,0.0481188164868484,0.0376716699792256,0.0779070261003977
"02",-0.0600858743579998,0.0649817503849787,0.0202440253515079,-0.0888595067114138,-0.0177249859642803,-0.0618880434368388,-0.0728228953173923,-0.0177249859642803,0.0665802277719066,0.0230517219099492,0.0588285631913023,0.0408514103325081,0.0226070508795957,0.0588285631913023
"03",0.0340028680300095,0.0779941327821988,0.129271836176342,0.0456792849262293,0.019771747339281,0.0165741713775417,0.0644373939146732,0.0644373939146732,0.0670027580206783,0.0392967468680848,0.0540959211079146,0.055263608918165,0.0883067857523765,0.0883067857523765
"04",0.187510055339093,0.081040113422523,0.317679850942987,0.175383961972086,0.217779603824123,0.170187645930846,0.188703606839187,0.217779603824123,0.0812521573721265,0.0344417985107671,0.0391259828710155,0.0544260207975232,0.0284435553163186,0.0544260207975232
"05",0.115016893564303,0.11393920479768,0.276431178496197,0.0834123604634145,0.0774594361874028,0.1451145941598,0.153171997204412,0.153171997204412,0.126488436305469,0.0510773998475661,0.0590253289117094,0.064282624383102,0.0558886088620679,0.064282624383102
"06",0.37665750421823,0.165084004353616,0.353693867620132,0.516935351861617,0.131535674012635,0.443006917597382,0.406535019873523,0.516935351861617,0.16296771819881,0.124469005803143,0.0369025146636746,0.0823917094163997,0.0664413061732123,0.124469005803143
"07",0.55287403159661,0.0770193987665565,0.545977790727558,0.531150419221559,0.556009971311687,0.604471267284953,0.517910670669383,0.604471267284953,0.0875686419879134,0.065228942531054,0.0821518785130057,0.0570679880259856,0.0430007699939796,0.0821518785130057
"09",0.101729009921737,0.121088237181781,0.199836464041876,0.0775485904740536,0.155341059011843,0.0939920683615936,0.0803513324074247,0.155341059011843,0.142575144735184,0.141357570102616,0.043505975165586,0.102826637417288,0.0547707465678408,0.141357570102616
"12",-0.039894197884881,0.220812342114053,0.1634220159153,-0.136906304109689,-0.0322134781832957,0.0692016026972631,-0.0630205007154025,0.0692016026972631,0.236816661902165,0.177160939911929,0.058344120527243,0.270871333755664,0.0469510641415512,0.270871333755664
"13",0.0995681597709697,0.0838928861157804,0.19387774763137,0.0146742929558182,0.104691351366725,0.142185399662183,0.130243055327162,0.142185399662183,0.0779310497236098,0.0528328163860782,0.0358930467865396,0.0586302690494259,0.0369609734354376,0.0586302690494259
"15",-0.089819868162795,0.228705415748805,-0.15558663886883,-0.0778020814686425,-0.194768911759642,0.0348186495875639,-0.116277089065866,0.0348186495875639,0.30817196667283,0.0510659608075167,0.200057335725355,0.0508421013023549,0.265480334058601,0.265480334058601
"16",-0.015059747632675,0.082799241322968,0.0747359448611804,0.00238677372508139,-0.0537112414789748,-0.0678563453113232,0.0651157164382554,0.0651157164382554,0.0780437473341216,0.0558795814509129,0.0434927568225813,0.0296532465804903,0.0565261961668912,0.0565261961668912
"17",-0.0839135625125222,0.0890084531909445,0.00736135773114199,0.0285432702315609,-0.0507078083359398,-0.162751531697421,-0.148000368588465,0.0285432702315609,0.0624877176043259,0.0474175540361888,0.0331286309626253,0.0305775668601653,0.0285992382176076,0.0474175540361888
"18",0.0349820264282995,0.0659181340070428,0.092153081995309,0.0317825593942209,0.0133266713787841,0.0758664668256463,0.0172649778509481,0.0758664668256463,0.0645718393334582,0.0414779845214566,0.0549947208355313,0.0555464125470859,0.0602052588024229,0.0602052588024229
"22",0.0559181954081951,0.0972672136010947,0.1675693040505,-0.0256311775801487,0.0445607510747561,0.0738628018331379,0.134228025597846,0.134228025597846,0.0849553405082136,0.0538429108725742,0.0689905231757669,0.0517613938708309,0.0528214156308607,0.0689905231757669
"24",-0.0325380581110669,0.0746750537395844,0.0640239062794936,-0.0688777479120221,-0.055503664170291,-0.0250170834596606,0.0199803892269094,0.0199803892269094,0.0658609563155814,0.0314609988101248,0.0423590183629129,0.0497984712442127,0.0608999346495132,0.0608999346495132
"29",0.195664582084476,0.0822124789669665,0.305037689681978,0.183921281142321,0.235334994530422,0.204136275305863,0.158377447077685,0.235334994530422,0.0670404102799581,0.0480244803483274,0.035381677249409,0.0382239609440268,0.0953400748035847,0.0953400748035847
"30",0.0182268609152089,0.0801799168716112,0.134822485083443,-0.0262312572800526,0.0473329220956306,0.0491370675764219,0.00264795733572851,0.0491370675764219,0.072122413684969,0.0198506939271062,0.0321259942160509,0.0621559483244794,0.0514327961172005,0.0621559483244794
"31",-0.156204720106646,0.0898948472338689,0.0106241129448908,-0.167029636713968,-0.171565669370555,-0.165527115143518,-0.121130080325903,-0.121130080325903,0.0723607028655387,0.0264809911988117,0.0357307139194494,0.030321999614707,0.0282669184606728,0.0357307139194494
"32",-6.23899299839032e-05,0.0810865679524019,0.114935489939569,-0.071226193209484,-0.00485226255873962,0.012307947655369,0.0670007585261308,0.0670007585261308,0.0666941540798397,0.036357009033789,0.0339116566775061,0.039397581904243,0.0409813010826372,0.0409813010826372
"41",-0.0509905581567122,0.0670086805967116,0.0581022797767433,-0.0442496470701528,-0.0380319257041981,-0.0659344090561598,-0.0560025434981286,-0.0380319257041981,0.0603968248041314,0.0197855735191891,0.0286811828140172,0.0360826888191632,0.0501014091796206,0.0501014091796206
