"Subject","MeanPP","StdPP","MeanPP_Seg0","MeanPP_Seg1","MeanPP_Seg2","MeanPP_Seg3","MeanPP_Seg4","MeanPP_SegMax","StdPP_Seg0","StdPP_Seg1","StdPP_Seg2","StdPP_Seg3","StdPP_Seg4","StdPP_SegMax","MeanPP_Seg0_1","MeanPP_Seg0_2","MeanPP_Seg0_3","MeanPP_Seg0_4","StdPP_Seg0_1","StdPP_Seg0_2","StdPP_Seg0_3","StdPP_Seg0_4","MeanPP_AccHigh"," MeanPP_AccLow","StdPP_AccHigh","StdPP_AccLow","MeanPP_AccHigh1"," MeanPP_AccLow1","StdPP_AccHigh1","StdPP_AccLow1","MeanPP_AccHigh2"," MeanPP_AccLow2","StdPP_AccHigh2","StdPP_AccLow2","MeanPP_AccHigh3"," MeanPP_AccLow3","StdPP_AccHigh3","StdPP_AccLow3","MeanPP_AccHigh4"," MeanPP_AccLow4","StdPP_AccHigh4","StdPP_AccLow4"
"01",0.238154493146928,0.0930749400751178,0.361495506284773,0.163342852286936,0.266754239524559,0.249012465201668,0.27836516799756,0.27836516799756,0.0808848394012515,0.0572843878147757,0.0480957642838393,0.0651768717510268,0.0490762151181256,0.0651768717510268,0.307321984600469,0.348277807959931,0.407358957468755,0.441790030743342,0.0727854963311938,0.069282148770943,0.0831639482441991,0.0603503514074048,0.353543504601994,0.240355400091235,0.0597402604514339,0.0451227228389081,0.328729119574261,0.309582500717836,0.039805538066516,0.0414002574363284,NA,0.244202914424743,NA,0.0297408189902352,NA,0.204040790910912,NA,0.0211761914024032,0.402331109063299,0.233298631581095,0.0625481962844653,0.0214777881898866
"02",0.0323562532378892,0.0814267330355834,0.107379268495879,-0.0176004301043881,0.0390130625869421,0.0532798334942741,0.0727515600897063,0.0727515600897063,0.0947985561140488,0.0919597976621146,0.0282216858911994,0.0330288966577933,0.0255111256069409,0.0919597976621146,0.108720146260432,0.124293358021965,0.143756015606004,0.141479145799363,0.0910035659239396,0.0330978475467657,0.0495676156831354,0.0580441605024764,0.0803551567149276,0.0409337408511154,0.0606159747581389,0.0360031684694375,0.098334071251482,0.082907691126232,0.0376393761475693,0.0335408682378709,0.0110680781053444,0.0240298054976853,0.0146895966589844,0.0202079742488232,0.00335044080096565,0.0219573637322485,0.0257192927281697,0.0222081019604203,0.106819751973381,0.0371243239905151,0.0658957643146304,0.0239226329861393
"03",0.0850304493104046,0.075761549937448,0.157937543218908,0.091507335886889,0.0895155158306887,0.016432030822552,0.12464847965383,0.12464847965383,0.0818664210264718,0.0444179082951533,0.0547059730948253,0.0551623773605974,0.0474735511952694,0.0551623773605974,0.121036143280733,0.151606870442701,0.126623321256901,0.203103779863408,0.0501799460373637,0.0592309274549692,0.0456841736996383,0.0327445426918534,0.122693882653301,0.0904987833500374,0.0472733679430768,0.0378438087024421,0.152653190938887,0.112932175361019,0.052729319917154,0.048742013905744,0.0729675485571306,0.0825457669366763,NA,0.0234703380566015,0.10100976261807,0.0715965428992483,0.0111132400341374,0.0199499749213446,0.110089132019061,0.0961459304341033,0.0415478297697102,0.0439423615718821
"04",0.0905728658819451,0.0846660749674011,0.162009643374677,0.0135420625144502,0.068046156992998,0.109044457308713,0.174957592946979,0.174957592946979,0.0764532494183429,0.0549795360001199,0.0672169164702331,0.0493809092399482,0.0376140385205122,0.0672169164702331,0.107918425478751,0.146638452219452,0.153501528277531,0.250830318662871,0.0913877653585766,0.0575545077364715,0.0570329520743409,0.0377901208859514,0.148823041407257,0.0969120661048957,0.0392354859248655,0.0376295075389541,0.178013499350366,0.141230082151994,0.016879538218176,0.0288477589057553,NA,0.0752394414781944,NA,0.0246678748676769,0.0684292584275686,0.0708476203351251,NA,0.0116294757040577,0.111319488437011,0.115493224444448,0.0233387135444148,0.0299055524360798
"05",-0.084716459347907,0.233405099748957,-0.00922383363699049,0.139469644655892,-0.179580120152605,-0.0732951448551957,-0.229560517038191,0.139469644655892,0.27128640003289,0.0371847353264644,0.238734470142883,0.120698450209488,0.167975595849275,0.238734470142883,0.189548657318999,-0.20377630249853,0.0502553788554311,0.107606033847258,0.0550376841411655,0.148308736348734,0.0810550594774827,0.200965626966711,-0.021762711307625,-0.0897139107005505,0.135583528701853,0.0935808010988024,-0.122251645434201,-0.124802150684675,0.0680185678444685,0.0906562991607468,-0.126439767950298,-0.143170986944534,0.0433515528591174,0.0440917161885983,-0.101598482179235,-0.0697641534926097,0.0663363461147726,0.0820023708043745,0.1327896281722,0.0770114604541432,0.0285554356534618,0.0231054666516077
"06",0.317684829251,0.129493400648149,0.323868566846681,0.409550170596904,0.364441762105965,0.288082216097064,0.207029489251912,0.409550170596904,0.144942023520989,0.152634421167667,0.0600167934639803,0.0612838919923466,0.0664155709244924,0.152634421167667,0.264799419246061,0.436616029038746,0.253126343643108,0.157593425340312,0.0649121196965101,0.0344998350547022,0.0936193686174261,0.0362738707757931,0.336043628384231,0.313890422591821,0.0761279401184781,0.0512482547694928,0.402396521687732,0.361352744017778,0.0276146748648982,0.0651994509865894,0.359982411606478,0.33185124287293,0.047853974583804,0.0274212104894757,NA,0.284939519061385,NA,0.0252225774715908,0.255852828751444,0.275830507982843,0.0131557035945417,0.0237284615200548
"07",0.235017403501649,0.112755712776309,0.299639159997095,0.277375886857343,0.293234471603003,0.211057515658126,0.145539330674798,0.293234471603003,0.119932162915899,0.11223890816558,0.0743614366508626,0.0844097368893272,0.0635020911217398,0.11223890816558,0.295606441662593,0.438378891091125,0.255879117929494,0.308430934015506,0.105589316113636,0.0574240112303268,0.0890358437794286,0.0409364329378354,0.26109545333699,0.246196823495721,0.0521966597865912,0.0406456368472862,0.304265668342388,0.291698740862714,0.0386630248332928,0.0196828872222387,0.24208978888869,0.262868144395807,0.0316680321159619,0.032873417685913,0.209709504356533,0.197906393883171,0.0244910164958658,0.0228170217418415,0.275171500741119,0.222147907773771,0.0350224902157945,0.02706854275154
"09",0.0879231223966663,0.091596272436684,0.193255059239688,-0.00733405450815267,0.103370835443436,0.130360495563241,0.130324471217719,0.130360495563241,0.0923652386955636,0.0513705844851404,0.0579745908990361,0.0243744032151175,0.0314370267607603,0.0579745908990361,0.21151542994853,0.210613777509971,0.195389144962492,0.125904182479986,0.126126848317542,0.0740307938134157,0.0558395748992062,0.0255042770620278,0.141911715585812,0.100851933161525,0.0693706763050981,0.0384352558805161,0.15044894963591,0.139395319200779,0.0487407981486159,0.0563471194479249,0.0598749850703645,0.0748730394726801,0.0196105679862931,0.0207763333351134,0.0467494322689961,0.0869906577921586,0.00855456602426535,0.0205038797693815,0.212759655959387,0.108150004883164,0.0327523733877974,0.0159176168345912
"12",0.169319467707735,0.135726507117615,0.247918361212714,0.132419020178955,0.200610070821012,0.247445419874147,0.0975407795659112,0.247445419874147,0.13831231172752,0.0904395039006636,0.162441464721755,0.0581953025172868,0.126018834530784,0.162441464721755,0.196328075985898,0.256170578955644,0.389813696319978,0.0670346153987859,0.0657952693167403,0.0493994049708259,0.107179600300911,0.0344925542438435,0.239113231692065,0.174094308467308,0.0703293328942226,0.0450669212011283,0.201505735674108,0.189366482887324,0.0543202993489994,0.0561926935816114,0.138643142165855,0.161284285197517,0.0266799400157547,0.0436807463169252,0.179449870492714,0.163370301541623,0.0106894876378064,0.0387623510390976,0.292745510038776,0.192329569883162,0.0519493625416239,0.0250679826052195
"13",0.157898785924846,0.0915704247442983,0.147585888828565,0.131903578940524,0.205935050508195,0.119615220378801,0.147892378413652,0.205935050508195,0.106894917765801,0.130830070016633,0.0355147198336982,0.0725161359698826,0.0282586541560155,0.130830070016633,0.206697420872622,0.21253945427833,0.109546154537293,0.218766124889563,0.0297561847995697,0.0529710407694737,0.0552052414556386,0.0161575874436825,0.151904933926702,0.156477522820979,0.0328482728705025,0.0474821905173047,0.137363150235226,0.107237221898632,0.028013233996457,0.0389483972262371,0.15391922255976,0.130793242286996,0.0253589979489118,0.0311088566323684,0.195772741360011,0.196605798230444,0.0107406566065087,0.0108085858909706,0.152574406693659,0.190826023153155,0.0327504053312674,0.0231809802511105
