"Subject","MeanPP","StdPP","MeanPP_Seg0","MeanPP_Seg1","MeanPP_Seg2","MeanPP_Seg3","MeanPP_Seg4","MeanPP_SegMax","StdPP_Seg0","StdPP_Seg1","StdPP_Seg2","StdPP_Seg3","StdPP_Seg4","StdPP_SegMax","MeanPP_Seg0_1","MeanPP_Seg0_2","MeanPP_Seg0_3","MeanPP_Seg0_4","StdPP_Seg0_1","StdPP_Seg0_2","StdPP_Seg0_3","StdPP_Seg0_4","MeanPP_AccHigh"," MeanPP_AccLow","StdPP_AccHigh","StdPP_AccLow","MeanPP_AccHigh1"," MeanPP_AccLow1","StdPP_AccHigh1","StdPP_AccLow1","MeanPP_AccHigh2"," MeanPP_AccLow2","StdPP_AccHigh2","StdPP_AccLow2","MeanPP_AccHigh3"," MeanPP_AccLow3","StdPP_AccHigh3","StdPP_AccLow3","MeanPP_AccHigh4"," MeanPP_AccLow4","StdPP_AccHigh4","StdPP_AccLow4"
"01",0.238154493146928,0.0930749400751178,0.361495506284773,0.163342852286936,0.266754239524559,0.249012465201668,0.27836516799756,0.27836516799756,0.0808848394012515,0.0572843878147757,0.0480957642838393,0.0651768717510268,0.0490762151181256,0.0651768717510268,0.307321984600469,0.348277807959931,0.407358957468755,0.441790030743342,0.0727854963311938,0.069282148770943,0.0831639482441991,0.0603503514074048,0.35306950346761,0.240387480343725,0.0573390437812616,0.0409233366401622,0.32076797388543,0.305806456194462,0.0210449008255913,0.022257629633269,NA,0.241660407057842,NA,0.0277114822114096,NA,0.204708058143552,NA,0.0169630452056661,0.41940300171673,0.238478396434655,0.0508176479971116,0.0258743049935737
"02",0.0323562532378892,0.0814267330355834,0.107379268495879,-0.0176004301043881,0.0390130625869421,0.0532798334942741,0.0727515600897063,0.0727515600897063,0.0947985561140488,0.0919597976621146,0.0282216858911994,0.0330288966577933,0.0255111256069409,0.0919597976621146,0.108720146260432,0.124293358021965,0.143756015606004,0.141479145799363,0.0910035659239396,0.0330978475467657,0.0495676156831354,0.0580441605024764,0.114397550720661,0.0358824710479947,0.0412824294426014,0.0293236523213982,0.096495519073217,0.0777145654855582,0.026907663206479,0.0139016873602578,NA,0.0209614527861606,NA,0.0154028928424139,0.00842469739867262,0.0203560418035443,NA,0.0202614942073875,0.14776404559065,0.0340952541775239,0.0396695156416994,0.0231538872049179
"03",0.0850304493104046,0.075761549937448,0.157937543218908,0.091507335886889,0.0895155158306887,0.016432030822552,0.12464847965383,0.12464847965383,0.0818664210264718,0.0444179082951533,0.0547059730948253,0.0551623773605974,0.0474735511952694,0.0551623773605974,0.121036143280733,0.151606870442701,0.126623321256901,0.203103779863408,0.0501799460373637,0.0592309274549692,0.0456841736996383,0.0327445426918534,0.122354407430769,0.0896536527300496,0.0450596415565031,0.0333492280755663,0.142623507543024,0.113600349011925,0.04807977035712,0.0445390955675001,NA,0.0824398501094374,NA,0.0211242938530686,0.10201867212815,0.0737033627062864,0.00762884546482946,0.018799976492685,0.114612030494524,0.083022748068373,0.0452030409442417,0.00819137100232745
"04",0.0905728658819451,0.0846660749674011,0.162009643374677,0.0135420625144502,0.068046156992998,0.109044457308713,0.174957592946979,0.174957592946979,0.0764532494183429,0.0549795360001199,0.0672169164702331,0.0493809092399482,0.0376140385205122,0.0672169164702331,0.107918425478751,0.146638452219452,0.153501528277531,0.250830318662871,0.0913877653585766,0.0575545077364715,0.0570329520743409,0.0377901208859514,0.150760530852693,0.0952499319207081,0.0396437311429476,0.0345289655924931,0.180347058290166,0.13749444949305,0.0116424309037176,0.0225436027731033,NA,0.0725618553278047,NA,0.0187664740384841,NA,0.0709064697414352,NA,0.00817021193799467,0.107412827862908,0.118077056647516,0.0221848062246784,0.0274732534123168
"05",-0.084716459347907,0.233405099748957,-0.00922383363699049,0.139469644655892,-0.179580120152605,-0.0732951448551957,-0.229560517038191,0.139469644655892,0.27128640003289,0.0371847353264644,0.238734470142883,0.120698450209488,0.167975595849275,0.238734470142883,0.189548657318999,-0.20377630249853,0.0502553788554311,0.107606033847258,0.0550376841411655,0.148308736348734,0.0810550594774827,0.200965626966711,-0.0209250046470129,-0.087511835286808,0.136494377982943,0.0885141364118468,-0.125279540808333,-0.147138005655324,0.0540797938585731,0.0656274528981719,NA,-0.142396589302397,NA,0.0246896533038306,-0.132523292682507,-0.0609782593738746,0.0577620559406451,0.0699886126111288,0.137011873237097,0.0820091235187753,0.0240137876227271,0.0157595724726128
"06",0.317684829251,0.129493400648149,0.323868566846681,0.409550170596904,0.364441762105965,0.288082216097064,0.207029489251912,0.409550170596904,0.144942023520989,0.152634421167667,0.0600167934639803,0.0612838919923466,0.0664155709244924,0.152634421167667,0.264799419246061,0.436616029038746,0.253126343643108,0.157593425340312,0.0649121196965101,0.0344998350547022,0.0936193686174261,0.0362738707757931,0.340317116532543,0.315522418167032,0.0742550478410328,0.0435573785333381,0.403125258047725,0.370486509699327,0.0178542074834208,0.030860085029088,NA,0.334139784298093,NA,0.0201767789377367,NA,0.283661903439034,NA,0.0223784362622154,0.25693389417618,0.27641517699344,0.0115542141604911,0.0163002210688775
"07",0.235017403501649,0.112755712776309,0.299639159997095,0.277375886857343,0.293234471603003,0.211057515658126,0.145539330674798,0.293234471603003,0.119932162915899,0.11223890816558,0.0743614366508626,0.0844097368893272,0.0635020911217398,0.11223890816558,0.295606441662593,0.438378891091125,0.255879117929494,0.308430934015506,0.105589316113636,0.0574240112303268,0.0890358437794286,0.0409364329378354,0.26119365482594,0.243929232159445,0.0484514994504348,0.0385758844500037,0.298647306757074,0.311171429509995,0.0332146030608986,0.0174178510329525,0.228763445891971,0.258645732213141,0.0237611020558069,0.0277798993809707,0.210285387711674,0.189971372390275,0.0163917248122281,0.0135188613857929,0.275904716037188,0.227731777862775,0.0336853487785737,0.0230897939807424
"09",0.0879231223966663,0.091596272436684,0.193255059239688,-0.00733405450815267,0.103370835443436,0.130360495563241,0.130324471217719,0.130360495563241,0.0923652386955636,0.0513705844851404,0.0579745908990361,0.0243744032151175,0.0314370267607603,0.0579745908990361,0.21151542994853,0.210613777509971,0.195389144962492,0.125904182479986,0.126126848317542,0.0740307938134157,0.0558395748992062,0.0255042770620278,0.153461369367573,0.0999022331482921,0.0695994819228506,0.0365660283770452,0.146574206951849,0.133504839598898,0.0445081159989117,0.0489663359699343,0.0518027413052478,0.0716735830167723,0.00608644070795402,0.0187636652169245,0.0434816363579695,0.087460814064625,0.00622974384175631,0.015352818485179,0.225063955919096,0.113727856735858,0.0193765019641709,0.0220888936311727
"12",0.169319467707735,0.135726507117615,0.247918361212714,0.132419020178955,0.200610070821012,0.247445419874147,0.0975407795659112,0.247445419874147,0.13831231172752,0.0904395039006636,0.162441464721755,0.0581953025172868,0.126018834530784,0.162441464721755,0.196328075985898,0.256170578955644,0.389813696319978,0.0670346153987859,0.0657952693167403,0.0493994049708259,0.107179600300911,0.0344925542438435,0.236799970039914,0.175490814170803,0.0728932830990393,0.0387277921103625,0.186248329654072,0.192864654874577,0.043274420480807,0.0427598052716438,NA,0.159377175466808,NA,0.0364801236481647,0.197238337731075,0.16439575288507,NA,0.0329168666645228,0.303986666866586,0.197306725582195,0.0448084988637127,0.0255983928372313
"13",0.157898785924846,0.0915704247442983,0.147585888828565,0.131903578940524,0.205935050508195,0.119615220378801,0.147892378413652,0.205935050508195,0.106894917765801,0.130830070016633,0.0355147198336982,0.0725161359698826,0.0282586541560155,0.130830070016633,0.206697420872622,0.21253945427833,0.109546154537293,0.218766124889563,0.0297561847995697,0.0529710407694737,0.0552052414556386,0.0161575874436825,0.147912512689023,0.156251927930604,0.032304189334989,0.0433657943397959,0.133058111955101,0.104475213768245,0.0218689509483836,0.0220462781268817,0.163390256024042,0.132202579886657,0.0191229441056388,0.0279205102135549,0.201202279121064,0.194790510344651,0.00485165215170442,0.00872300895489919,0.138620643350872,0.193602681378235,0.0308337755422082,0.00680797394156622
