"Subject","MeanPP","StdPP","MeanPP_Seg0","MeanPP_Seg1","MeanPP_Seg2","MeanPP_Seg3","MeanPP_Seg4"
"01",-0.0018087742125678,0.100027001861316,0.162300323654224,-0.0516864620860256,-0.0260125901505328,0.0120649900510271,0.0583989653352601
"02",-0.000517948533176137,0.0697646786355616,0.0881667023456486,-0.00317128982428915,0.0139409843347338,-0.00650281293195217,-0.00450866863133642
"03",-0.00452689428766534,0.110097399363561,0.12323716534808,-0.0677011770878282,0.0904716286265712,-0.0642260829486024,0.0248109784952816
"04",-0.00247664103284129,0.100007482231491,0.155856426453923,-0.0702326313371543,-0.0510877063219992,0.01644385428779,0.0842251261475797
"05",-0.0198117207062763,0.225283360658573,-0.0448091835885245,0.131930770858531,-0.102626558024061,-0.044620951049166,-0.0660832143897717
"06",-0.0121355195181647,0.158569718442688,0.119831751404839,0.00643013211490282,0.132019413733778,-0.126209411482411,-0.0278616940375852
"07",-0.00441721066162684,0.10745142573555,0.113633026857985,0.122272588389059,-0.0537982591031334,-0.0313845120272452,-0.0509678446178416
"09",-0.00111963420556343,0.0707713914673147,0.0849300942603604,0.0123160715450108,0.0101833187958433,-0.0200291073898284,-0.00747267155983031
"12",-0.00801572811238115,0.155063290613765,0.122263794305602,-0.0773402751522581,0.0401271638821389,0.0645465371443098,-0.05977382526329
"13",-0.00161216016452444,0.0855995629987168,0.118683000624386,-0.00848974611724926,-0.00282442917898666,-0.0132645399603972,0.01938366147447
"15",-0.00291766313682015,0.0784131347540476,0.0558664225943198,-0.0935771591693477,0.0227540005602096,-0.0128045656908811,0.0716550521798323
"16",-0.00114899134273102,0.0708533406236076,0.0883859232948486,-0.00599119004622252,-0.00607977218297077,-0.0285659771902793,0.0334626147884073
"17",-0.00211072239379543,0.0847314393335705,0.11357462822493,-0.0242671511625368,-0.0586677845727633,0.0149279203054189,0.0590992032725847
"18",-0.00178299840283808,0.0728364656836178,0.0885671605795352,-0.0653338776687301,0.00748951283104632,0.0309249791452384,0.0189829505713982
"22",-0.00576979902909452,0.121265472234727,0.133733421932676,-0.114599675706193,-0.0259945823559882,0.00637728036021484,0.10971207938297
"24",-0.00414723989538011,0.0891406242634737,0.057675568590053,-0.116609685846633,0.0165445016319024,-0.00528103679480643,0.0849279916301141
"29",-0.00203747295152357,0.102804573379605,0.163686704196489,-0.0222751806763386,0.00209170303938599,0.0264122290397548,-0.0137345385051525
"30",-0.000946349631757347,0.0691801307013242,0.10338291541933,-0.0286678754038548,0.0228899385760855,0.00551745168524683,-0.00323772918923167
"31",-0.000858859490818703,0.0665904863938367,0.0884198510676833,-0.0150904588631728,-0.0170275033359651,0.0165183192163309,0.0127084957828231
"32",-0.00180759397689779,0.0803194257453921,0.116864438534504,-0.0716054239693214,-0.0066865767251851,0.011530819113243,0.0621761448431237
"41",-0.00193273452067213,0.109364678173656,0.138033063162653,0.000262783757081562,-0.0407661634424884,0.0295334264419351,-0.00193273452067213
