"Time","Perspiration","Speed","Acceleration","Braking","Steering","Phase","Activity","Failure","Distance"
0,0.00436149528571429,0,0,0,45.8225984085714,0,0,0,-3.392448933
1,0.00451227257142857,0,0,0,46.4862745414286,0,0,0,-3.392381167
2,0.004670885625,0,0,17.55612719675,46.4701477975,0,0,0,-3.39227104725
3,0.00480159,0,0,49.3578289585714,46.4707279957143,0,0,0,-3.39231376957143
4,0.00486897775,0.000344711875,0.01179157225,46.10737569875,46.46001045125,0,0,0,-3.39222014375
5,0.00487823542857143,0.407357825857143,0.681568746857143,1.51961521214286,87.4027451428571,0,0,0,-3.33211805442857
6,0.004887790375,1.2595338225,2.659676404875,0,138.202315025,0,0,0,-2.95078362175
7,0.00489913771428571,2.16932780857143,11.4460712628571,0,140.119625485714,0,0,0,-2.20285947571429
8,0.004895221125,3.943795459125,12.76660914875,0,94.86705056625,0,0,0,-0.854989942875
9,0.00485562042857143,5.78967014714286,13.4105404828571,0,47.5082869485714,0,0,0,1.29362103128571
10,0.00476102075,7.420655722125,14.33021309625,0,-14.30521727425,0,0,0,4.215728993875
11,0.00467507314285714,8.75823515985714,15.6882972628571,0,-9.71504938857143,0,0,0,7.78621710385714
12,0.00476184925,10.217015377625,14.22780957625,0,-18.27535056125,0,0,0,11.986779934
13,0.00498109442857143,11.66320818,14.9563370257143,0,-26.03779389,0,0,0,16.8570625485714
14,0.005028260625,12.93891191625,16.8095753975,0,-25.46209902125,0,0,0,22.3736207525
15,0.00493408928571429,14.0887323757143,16.4199316042857,0,-15.71360241,0,0,0,28.4445915442857
16,0.004924962125,15.26291171875,18.06977611125,0,-7.1508981455,0,0,0,35.05360006
17,0.00508188142857143,16.5022309757143,17.4344588257143,0,-1.70187799071429,0,0,0,42.2033414914286
18,0.005231517125,17.72148811125,17.5264828025,0,0.777352011,0,0,0,49.9239909375
19,0.005310556,18.8667307371429,17.7269541257143,0,2.16031616985714,0,0,0,58.1708479371429
20,0.005438303375,19.9847166325,17.56069600625,0,0.00812800075,0,0,0,66.94312934875
21,0.00554144157142857,21.0134616057143,17.44666965,0,2.194000201,0,0,0,76.1911528714286
22,0.0055170955,21.94472584125,17.17676794875,0,1.775431177875,0,0,0,85.8935837775
23,0.00533472014285714,22.8384943057143,17.78193773,0,2.99922669814286,0,0,0,96.0036834671429
24,0.005070904,23.56518041375,16.91283010875,0,2.9978453895,0,0,0,106.495601725
25,0.00482362528571429,24.1404458828571,17.0230730957143,0,2.35050528714286,0.714285714285714,1.42857142857143,0,117.258100185714
26,0.00465370275,24.80531830375,16.7488328075,0,0.473901105375,1,2,0,128.317184925
27,0.00456984914285714,25.4424437242857,15.4773093257143,0,2.93352756585714,1,2,0,139.660322114286
28,0.004535632625,25.76032178,4.498569303875,0,1.484923318375,1,2,0,151.253726425
