"","Time","pp","pp_nr2"
"1",0,"0.0041066461999435","0.00466141127198551"
"2",1,"0.00575495566590689","0.00488270547748651"
"3",2,"0.00521896187482136","0.00516637497685689"
"4",3,"0.0122158429585397","0.00526666229233069"
"5",4,"0.00481950503308326","0.00511406030032743"
"6",5,"0.00563044154218265","0.00489642696341361"
"7",6,"0.00449570425553247","0.00470347649599942"
"8",7,"0.00524482912650066","0.00472461917248719"
"9",8,"0.00556195341050625","0.00492976525279792"
"10",9,"0.00412199390120804","0.00470235322694542"
"11",10,"0.00420409055160625","0.00444690444449155"
"12",11,"0.00507623050361872","0.00435490394302295"
"13",12,"0.00523937423713505","0.00421274693448875"
"14",13,"0.0036691681681467","0.00392538216150076"
"15",14,"0.0029634669481311","0.00356156704672422"
"16",15,"0.00326639892799514","0.00351678281922771"
"17",16,"0.00362718221731484","0.00354568969841481"
"18",17,"0.00321391347928771","0.00349521922789587"
"19",18,"0.00345294139697216","0.00348015272220225"
"20",19,"0.00340062692495329","0.00348902006774444"
"21",20,"0.00359943410148844","0.00350634302001938"
"22",21,"0.00314480329065451","0.00350276001053088"
"23",22,"0.00331459919107147","0.00357032909750211"
"24",23,"0.00385878986812064","0.00374970110266861"
"25",24,"0.00420743663562462","0.00388419948407888"
"26",25,"0.00364341290800699","0.0038458637763605"
"27",26,"0.00368287088349462","0.00379786498616715"
"28",27,"0.00407723107907389","0.00378116735473823"
"29",28,"0.00348566984757781","0.00374529166804288"
"30",29,"0.00370020492534552","0.0037821323344845"
"31",30,"0.00391987487091683","0.00385293716339909"
"32",31,"0.00393485464155674","0.00394332614891556"
"33",32,"0.00368326797615737","0.00404040100204124"
"34",33,"0.00427228238965784","0.00425184680269269"
"35",34,"0.0052372122881934","0.00444366038992963"
"36",35,"0.00423299112091107","0.00444847519172191"
"37",36,"0.0047924822429195","0.00450738528817682"
"38",37,"0.0051266458218119","0.00453680378748283"
"39",38,"0.00428127642953768","0.00446076805749046"
"40",39,"0.00443348574585148","0.00436744730221477"
"41",40,"0.00417543065850623","0.00436091210175923"
"42",41,"0.00539516418939456","0.00448119427042597"
"43",42,"0.004415737827205","0.00437200505127275"
"44",43,"0.00405412373532142","0.00417096434196983"
"45",44,"0.00391036621294916","0.00412180490567346"
"46",45,"0.00448600994423032","0.00414671261019298"
"47",46,"0.00358899476123042","0.00408337031640666"
"48",47,"0.00404697274123984","0.00429290900735027"
"49",48,"0.00695220584748313","0.00465377345786725"
"50",49,"0.00439237962876047","0.00443431242193261"
"51",50,"0.00398074131226167","0.00409363453042296"
"52",51,"0.00401454039716295","0.00389192048655399"
"53",52,"0.00404349561514599","0.00380315900998456"
"54",53,"0.0035987078943955","0.00378079794091951"
"55",54,"0.00368383753811941","0.003747545915998"
"56",55,"0.00352717812971345","0.00366288088865854"
"57",56,"0.00343814250663854","0.00364621530240783"
"58",57,"0.00388228550686368","0.00368353122536829"
"59",58,"0.00372220815292427","0.00372464646242093"
"60",59,"0.00374213725444861","0.00377531021215901"
"61",60,"0.00360307193477638","0.00383246855552619"
"62",61,"0.0042259048204869","0.00388255631456244"
"63",62,"0.0039004870923236","0.00385773624797453"
"64",63,"0.00373676512390375","0.00379028445730338"
"65",64,"0.00357985167647712","0.00373378342787804"
"66",65,"0.00374374369026295","0.00379250949647166"
"67",66,"0.00389170437119901","0.00382997823847256"
"68",67,"0.00374917613225989","0.0038107779794012"
"69",68,"0.00388435457300927","0.00379526305906815"
"70",69,"0.00373125335733805","0.00382165884233054"
"71",70,"0.00403307640226558","0.00386228829959627"
