"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","Subject #01",0.18,-0.023,0.045,0.037,-0.094,-0.143,0.298,-0.408,"C1"
"2","Subject #04",0,-0.065,-0.016,0.201,-0.129,0.2,-0.117,0.25,"C1"
"3","Subject #05",0.301,0.227,0.372,0.264,-0.388,0.093,0.08,0.34,"C2"
"4","Subject #06",0.124,0.097,0.336,0.272,-0.364,0.03,-0.018,0.121,"C2"
"5","Subject #07",0.357,0.123,0.367,0.374,-0.459,0.088,0.011,0.335,"C2"
"6","Subject #08",-0.054,-0.023,0.104,0.176,-0.188,0.046,0.067,0.138,"C1"
"7","Subject #10",-0.324,0.114,-0.078,-0.042,0.147,0.147,0.025,0.164,"C1"
"8","Subject #11",0.294,0.094,0.307,0.171,-0.295,-0.018,0.089,0.19,"C2"
