"Time","Perspiration","Speed","Acceleration","Braking","Steering","Phase","Activity","Failure","Distance"
0,0.006556345,0,2.151323425,46.4361092114286,-10.3466751737143,0,0,0,-14.84616266
1,0.00654382385714286,3.5e-06,2.19864405414286,46.63896811,-10.4950279457143,0,0,0,-14.8458661
2,0.006578984375,0.000459004875,2.212974830875,46.5930493575,-17.2081271175,0,0,0,-14.84538419
3,0.00635527514285714,0.00348872228571429,2.18929276385714,45.52990727,-26.32925193,0,0,0,-14.84556954
4,0.0060357455,0.00549047475,2.2007788395,45.46739337875,-22.06401178,0,0,0,-14.84538419
5,0.00576707928571429,0.00992761071428571,2.21012902414286,45.3884552757143,-16.4641362371429,0,0,0,-14.8455796085714
6,0.005527086125,0.027663354375,2.211612109,32.59317158375,-43.57284407625,0,0,0,-14.843077455
7,0.00533072842857143,0.548554404285714,2.62335871785714,0.0125812824285714,-172.330497314286,0,0,0,-14.73884567
8,0.005271189125,1.243656864125,6.9220519985,0,-285.8471423875,0,0,0,-14.3387207425
9,0.005306913,1.89683993257143,10.5087752617143,0,-282.914614957143,0,0,0,-13.63927673
10,0.005380807375,2.763211423625,11.49983031375,0,-207.8607180125,0,0,0,-12.61547395875
11,0.00553544471428571,3.67003827657143,10.7374099914286,0,-66.4725721314286,0,0,0,-11.2091425728571
12,0.00576198475,4.381816889875,10.15671566175,0,5.928596756375,0,0,0,-9.450070418625
13,0.00600723171428571,4.84894678142857,11.008902174,0,78.52267217,0,0,0,-7.43035087571429
14,0.006115294,5.368096880875,14.405765815,0,135.35974535,0,0,0,-5.183758950625
15,0.00603800071428571,6.153551623,15.59693866,0,146.366206528571,0,0,0,-2.593528294
16,0.0059916055,7.113649783125,16.2191315775,0,62.7388870775,0,0,0,0.391479751625
17,0.00589403442857143,8.09818972514286,19.4786409228571,0,17.4080970628571,0,0,0,3.81223677542857
18,0.005531406,9.466189883875,22.42003112375,0,8.885036596375,0,0,0,7.735330483625
19,0.00516955771428571,11.2719704142857,23.17170079,0,-6.86280266685714,0,0,0,12.3750271942857
20,0.004904035375,13.25511790125,25.71580875125,0,-14.18687476875,0,0,0,17.89539974125
21,0.00475158114285714,15.6518259814286,26.9204862957143,0,-13.6107940115714,0,0,0,24.3817828571429
22,0.00475338475,18.11094413375,27.3873011775,0,-7.156904803875,0,0,0,32.01974797125
23,0.00490562328571429,20.3437625971429,27.5594245614286,0,-2.65388398014286,0,0,0,40.7035789385714
24,0.005065370875,22.60153307375,28.6171212125,0,1.015237053375,0,0,0,50.4004698475
25,0.00505584214285714,24.9103540942857,28.1453975785714,0,1.500476284,0,0,0,61.1224515214286
26,0.004989384125,26.65065937875,25.67691073375,0,2.361955543125,0,0,0,72.8154105225
27,0.00499409842857143,27.8129997457143,26.7887064457143,0,3.00016531757143,0,0,0,85.1071301485714
28,0.005144715625,29.032180785,24.682268895,0,2.998074051,0,0,0,97.9499342175
29,0.00539227814285714,29.6966229142857,8.50416170928571,0,2.99811148314286,0.285714285714286,0.857142857142857,0,111.260977057143
30,0.00561865,29.22390451375,6.910936151125,0,2.998074051,1,3,0,124.589063875
31,0.00570841942857143,28.3703540871429,6.75031379228571,0,3.00031291314286,1,3,0,137.616291071429
32,0.005630297125,27.38323646375,7.026585028625,0,1.54275961325,1,3,0,150.2093671875
33,0.00550944342857143,26.4232709828571,16.0265312015714,0,-0.00441602828571429,1,3,0,162.363422057143
34,0.0054424175,26.67661963375,23.7645569475,0,1.73966375425,1,3,0,174.295804375
35,0.00541335142857143,27.7274319385714,23.2223937057143,0,2.99429185342857,1,3,0,186.581710614286
36,0.0054063825,28.528789265,19.960963015,0,1.851029691,1,3,0,199.312878475
37,0.00542977757142857,28.89679041,18.6670545785714,0,2.46193383614286,1,3,0,212.291967142857
38,0.005483383875,29.20717120125,17.38398916625,0,4.501280917375,1,3,0,225.4155355625
39,0.00553675285714286,29.4868519942857,18.2335372314286,0,3.61036848028571,1,3,0,238.6714821
40,0.005522382625,29.7710768,18.1329036675,0,1.849901854125,1,3,0,252.055410375
41,0.00541590485714286,30.0456947942857,19.5554205814286,0,2.38296685,1,3,0,265.561479628571
42,0.005245487875,30.41979997875,19.09071323875,0,2.99903717675,1,3,0,279.2140260875
43,0.00505212185714286,30.8376892342857,18.7219070014286,0,2.99811148314286,1,3,0,293.051097771429
44,0.00490003775,31.12031265625,18.13300192875,0,2.998074051,1,3,0,307.04515025
45,0.00486926742857143,31.3108049314286,17.1883199614286,0,2.99811148314286,1,3,0,321.151835242857
46,0.004971908375,31.46429106,19.63321254,0,2.998074051,1,3,0,335.326742775
47,0.00515463614285714,31.7015261814286,18.8566263771429,0,2.99742776442857,1,3,0,349.5961069
48,0.005261378375,31.96320665375,18.1869745825,0,2.557868138875,1,3,0,363.973893
49,0.00522985657142857,32.0572919814286,17.0628399442857,0,1.49426910442857,1,3,0,378.4434893
50,0.005181422625,32.07005330375,14.244890505,0,1.498242238375,1,3,0,392.9301660625
51,0.00521681571428571,31.9785143957143,13.9183382271429,0,1.56375336071429,1,3,0,407.398799628571
52,0.005264045625,31.91798275375,13.3753694575,0,3.023215705625,1,3,0,421.8256536625
53,0.00524768557142857,31.8882609814286,12.65497384,0,2.664582108,1,3,0,436.246743642857
54,0.005253636125,31.79280333375,12.30294180625,0,2.998196391125,1,3,0,450.6286483375
55,0.00526861285714286,31.6795610057143,16.02035952,0,2.99811148314286,1,3,0,464.966724657143
56,0.005280630625,31.7081286925,19.02867088375,0,2.998074051,1,3,0,479.272719175
57,0.00537659042857143,31.96686295,12.9887270721429,0,2.99811148314286,1,3,0,493.6549593
58,0.00551906775,31.81390995625,3.824367237875,0,2.998074051,1,3,0,508.0793378375
59,0.00558419357142857,31.30888826,3.25035155271429,0,2.99879520214286,1,3,0,522.352935057143
60,0.005530726125,30.66274141375,3.181545224125,0,3.438438853,1,3,0,536.3396684
61,0.00545496085714286,30.2527064214286,3.25306189657143,0,4.49956772742857,1,3,0,550.098649242857
62,0.00539512025,29.911511335,3.208027505,0,3.20532247475,1,3,0,563.683959425
63,0.00536848042857143,29.5989677228571,3.12603886,0,1.79868378085714,1,3,0,577.1327501
64,0.005387595,29.126452565,3.122070351625,0,1.485308514,1,3,0,590.3923223125
65,0.00539264242857143,28.63282896,4.51687483028571,0,3.43535578628571,1,3,0,603.446874685714
66,0.00538993775,28.15056602625,5.546898157375,0,3.356682721375,1,3,0,616.2615433
67,0.005389833,27.6792347614286,6.11559985157143,0,2.99871069657143,1,3,0,628.879513657143
68,0.005333683875,27.22495407,8.01038164,0,2.268543793875,1,3,0,641.272921175
69,0.005260743,26.8486182071429,16.5043991728571,0,2.05941771442857,1,3,0,653.485399242857
70,0.005249047625,27.04470359875,23.082244165,0,3.002090562875,1,3,0,665.610931225
71,0.00527769671428571,27.93502003,22.8996689342857,0,2.99811148314286,1,3,0,678.0218912
72,0.00532236925,28.83525535125,22.82601956375,0,2.998074051,1,3,0,690.836788675
73,0.00532945742857143,29.6546554042857,20.0406647157143,0,2.99811148314286,1,3,0,704.059813657143
74,0.005311609125,30.01012866,20.5293866475,0,2.998074051,1,3,0,717.537798225
75,0.00538718585714286,30.35889362,13.0425967085714,0,2.99811148314286,1,3,0,731.186813528571
76,0.005462249375,30.15411396875,3.966252358125,0,2.998074051,1,3,0,744.8598526375
77,0.00545387242857143,29.8085717542857,3.770323597,0,2.99811148314286,1,3,0,758.412166728571
78,0.0054060935,29.45247583625,3.899613761,0,2.998074051,1,3,0,771.798109275
79,0.00538957142857143,28.9359171257143,8.62768520228571,0,2.99811148314286,1,3,0,784.993615957143
80,0.005386971375,28.51216365,13.03836342625,0,2.998074051,1,3,0,797.9552399125
81,0.00535475857142857,28.2314152642857,14.2350323114286,0,2.99811148314286,1,3,0,810.777734457143
82,0.005203541875,28.0513874725,18.14570373375,0,2.998074051,1,3,0,823.474926375
83,0.005096467,28.2898209985714,22.5080987857143,0,2.99811148314286,1,3,0,836.176354
