"","Subject","Cls_High","Cls_Low","Accuracy","Precision","Recall","Spec","NPV","F1","AUC"
"1","Subject #01",95,273,0.760869565217391,0.568421052631579,0.534653465346535,0.846441947565543,0.827838827838828,0.551020408163265,0.7614537
"2","Subject #04",47,84,0.702290076335878,0.680851063829787,0.571428571428571,0.8,0.714285714285714,0.621359223300971,0.7551444
"3","Subject #05",72,66,0.644927536231884,0.652777777777778,0.661971830985915,0.626865671641791,0.636363636363636,0.657342657342657,0.7097789
"4","Subject #06",183,108,0.711340206185567,0.792349726775956,0.759162303664921,0.62,0.574074074074074,0.775401069518717,0.7802146
"5","Subject #07",179,127,0.735294117647059,0.849162011173184,0.737864077669903,0.73,0.574803149606299,0.78961038961039,0.8380705
"6","Subject #08",166,106,0.709558823529412,0.813253012048193,0.737704918032787,0.651685393258427,0.547169811320755,0.773638968481375,0.7961492
"7","Subject #10",196,104,0.796666666666667,0.841836734693878,0.846153846153846,0.704761904761905,0.711538461538462,0.843989769820972,0.8497077
"8","Subject #11",232,77,0.792880258899676,0.918103448275862,0.825581395348837,0.627450980392157,0.415584415584416,0.869387755102041,0.8046235
"9","",0,0,0,0,0,0,0,0,0
