"","Subject","Cls_High","Cls_Low","Accuracy","Precision","Recall","Spec","F1","NPV","AUC"
"1","Subject #01",485,1329,0.956449834619625,0.882474226804124,0.951111111111111,0.958211143695015,0.915508021390374,0.983446200150489,0.990097
"2","Subject #04",209,421,0.942857142857143,0.880382775119617,0.943589743589744,0.942528735632184,0.910891089108911,0.973871733966746,0.9843505
"3","Subject #05",354,327,0.948604992657856,0.946327683615819,0.954415954415954,0.942424242424242,0.950354609929078,0.951070336391437,0.9907761
"4","Subject #06",893,552,0.962629757785467,0.974244120940649,0.965593784683685,0.957720588235294,0.969899665551839,0.943840579710145,0.9945053
"5","Subject #07",873,648,0.972386587771203,0.979381443298969,0.972696245733788,0.97196261682243,0.976027397260274,0.962962962962963,0.994456
"6","Subject #08",737,614,0.955588452997779,0.962008141112619,0.956815114709852,0.954098360655738,0.959404600811908,0.947882736156352,0.9879427
"7","Subject #10",967,526,0.977896851975887,0.982419855222337,0.98343685300207,0.967741935483871,0.982928091050181,0.96958174904943,0.9971372
"8","Subject #11",1218,305,0.975049244911359,0.993431855500821,0.975806451612903,0.971731448763251,0.984540276647681,0.901639344262295,0.9941512
"9","All (No Cluster)",7170,2213,0.975807311094533,0.990655509065551,0.977970535591353,0.968396226415094,0.984272154091318,0.927699954812472,0.995963
