"","Subject","Speed (u)","Speed (std.)","Acc (u)","Acc (std.)","Brake (u)","Brake (std.)","Steering (u)","Steering (std.)","Group"
"1","Subject #01",0.203,-0.002,-0.007,0.058,-0.236,0.038,-0.105,-0.006,"C1"
"2","Subject #04",0.008,-0.141,-0.088,-0.297,0.104,-0.22,0.145,-0.475,"C1"
"3","Subject #05",0.561,0.203,0.39,0.284,-0.612,0.106,0.095,0.286,"C1"
"4","Subject #06",0.221,0.13,0.254,0.207,-0.24,0.041,-0.005,0.191,"C1"
"5","Subject #07",0.491,-0.07,0.267,0.275,-0.504,-0.149,-0.025,0.047,"C1"
"6","Subject #08",0.104,-0.197,0.178,-0.139,-0.288,-0.234,-0.366,0.025,"C1"
"7","Subject #10",0.37,-0.053,0.279,0.286,-0.292,0.033,-0.049,0.198,"C1"
"8","Subject #11",0.307,-0.164,0.281,0.107,-0.219,-0.032,0.052,0.061,"C1"
